antibiotic,call,confidence,probability_resistant,model_signal,evidence_category,supporting_elements,all_relevant_elements,target_status,target_label,targets_detected,feature_similarity,feature_similarity_floor,unknown_features,lineage_status,maximum_training_ani,minimum_training_ani,nearest_training_genome,reasons
ciprofloxacin,likely_to_fail,0.9398522796284117,0.9398522796284117,resistant_signal,known_resistance_gene_or_mutation,"['gyrA_S84L', 'parC_S80F']","['gyrA_S84L', 'parC_S80F']",present,DNA gyrase and topoisomerase IV,"['gyrA', 'gyrB', 'parC', 'parE']",0.8888888888888888,0.5,[],in_distribution,0.999971716255685,0.9923668127847838,1280.9284,[]
erythromycin,no_call,0.7041501290560239,0.2958498709439761,no_call,no_known_resistance_signal,[],[],present,23S ribosomal RNA within the bacterial 50S ribosomal subunit,['23S rRNA'],0.8888888888888888,0.5,[],in_distribution,0.999971716255685,0.9923668127847838,1280.9284,['calibrated_probability_inside_no_call_region']
clindamycin,no_call,0.7087860172184655,0.2912139827815345,no_call,no_known_resistance_signal,[],[],present,23S ribosomal RNA within the bacterial 50S ribosomal subunit,['23S rRNA'],0.8888888888888888,0.5,[],in_distribution,0.999971716255685,0.9923668127847838,1280.9284,['calibrated_probability_inside_no_call_region']
gentamicin,likely_to_work,0.9970374606861707,0.0029625393138292683,susceptible_signal,no_known_resistance_signal,[],[],present,16S ribosomal RNA within the bacterial 30S ribosomal subunit,['16S rRNA'],0.8888888888888888,0.5,[],in_distribution,0.999971716255685,0.9923668127847838,1280.9284,[]
tetracycline,likely_to_work,0.9527391330063565,0.04726086699364347,susceptible_signal,no_known_resistance_signal,[],[],present,16S ribosomal RNA within the bacterial 30S ribosomal subunit,['16S rRNA'],0.8888888888888888,0.5,[],in_distribution,0.999971716255685,0.9923668127847838,1280.9284,[]
