antibiotic,call,confidence,probability_resistant,model_signal,evidence_category,supporting_elements,all_relevant_elements,target_status,target_label,targets_detected,feature_similarity,feature_similarity_floor,unknown_features,lineage_status,maximum_training_ani,minimum_training_ani,nearest_training_genome,reasons
cefoxitin,likely_to_work,0.8270624070728777,0.17293759292712227,susceptible_signal,no_known_resistance_signal,[],[],present,Native penicillin-binding proteins,"['pbpA', 'pbpB']",1.0,0.5,[],in_distribution,0.9992176385957351,0.9923668127847838,1280.26060,[]
ciprofloxacin,likely_to_work,0.9093349310475933,0.09066506895240663,susceptible_signal,no_known_resistance_signal,[],[],present,DNA gyrase and topoisomerase IV,"['grlA', 'grlB', 'gyrA', 'gyrB']",1.0,0.5,[],in_distribution,0.9992176385957351,0.9923668127847838,1280.26060,[]
erythromycin,no_call,0.8784873544046354,0.12151264559536457,susceptible_signal,no_known_resistance_signal,[],[],not_verified,23S ribosomal RNA within the bacterial 50S ribosomal subunit,[],1.0,0.5,[],in_distribution,0.9992176385957351,0.9923668127847838,1280.26060,['molecular_target_not_verified']
