antibiotic,call,confidence,probability_resistant,model_signal,evidence_category,supporting_elements,all_relevant_elements,target_status,target_label,targets_detected,feature_similarity,feature_similarity_floor,unknown_features,lineage_status,maximum_training_ani,minimum_training_ani,nearest_training_genome,reasons
cefoxitin,no_call,0.5192101999233868,0.5192101999233868,no_call,known_resistance_evidence_but_model_uncertain,"['blaI', 'blaZ', 'mecA']","['blaI', 'blaZ', 'mecA', 'mecR1']",present,Native penicillin-binding proteins,"['pbpA', 'pbpB']",0.875,0.5,[],in_distribution,0.999971716255685,0.9923668127847838,1280.9284,['calibrated_probability_inside_no_call_region']
ciprofloxacin,likely_to_fail,0.9115808149173174,0.9115808149173174,resistant_signal,known_resistance_gene_or_mutation,"['gyrA_S84L', 'parC_S80F']","['gyrA_S84L', 'parC_S80F']",present,DNA gyrase and topoisomerase IV,"['grlA', 'grlB', 'gyrA', 'gyrB']",0.8888888888888888,0.5,[],in_distribution,0.999971716255685,0.9923668127847838,1280.9284,[]
erythromycin,no_call,0.6594781351649603,0.3405218648350397,no_call,no_known_resistance_signal,[],[],present,23S ribosomal RNA within the bacterial 50S ribosomal subunit,['23S rRNA'],0.8888888888888888,0.5,[],in_distribution,0.999971716255685,0.9923668127847838,1280.9284,['calibrated_probability_inside_no_call_region']
