antibiotic,call,confidence,probability_resistant,model_signal,evidence_category,supporting_elements,all_relevant_elements,target_status,target_label,targets_detected,feature_similarity,feature_similarity_floor,unknown_features,lineage_status,maximum_training_ani,minimum_training_ani,nearest_training_genome,reasons
cefoxitin,no_call,0.8474827471805157,0.1525172528194843,susceptible_signal,no_known_resistance_signal,"['blaI', 'blaR1', 'blaZ']","['blaI', 'blaR1', 'blaZ']",present,Native penicillin-binding proteins,"['pbpA', 'pbpB']",0.45454545454545453,0.5,[],in_distribution,0.9983366604595655,0.9923668127847838,1280.7420,['outside_amr_feature_distribution']
ciprofloxacin,no_call,0.7377924897085265,0.2622075102914735,susceptible_signal,no_known_resistance_signal,"['gyrA_S84V', 'parC_E84K', 'parC_S80F']","['gyrA_S84V', 'parC_E84K', 'parC_S80F']",present,DNA gyrase and topoisomerase IV,"['grlA', 'grlB', 'gyrA', 'gyrB']",0.45454545454545453,0.5,[],in_distribution,0.9983366604595655,0.9923668127847838,1280.7420,['outside_amr_feature_distribution']
erythromycin,no_call,0.826774007248895,0.17322599275110492,susceptible_signal,no_known_resistance_signal,[],[],present,23S ribosomal RNA within the bacterial 50S ribosomal subunit,['23S rRNA'],0.45454545454545453,0.5,[],in_distribution,0.9983366604595655,0.9923668127847838,1280.7420,['outside_amr_feature_distribution']
