genome_id,genome_name,label_count,selection_rank
1280.9384,Staphylococcus aureus WAU_28,5,085eb00fba6c7293e261c665b7baf77e7c7ffe5d898cc53505bfc87dc588ddb3
1280.59564,Staphylococcus aureus CFSA17SA096,5,0872c3d0c54133a891f5052f2428b92ac9b3099f500ae7d2f97eea5f3092e4b6
1280.15887,Staphylococcus aureus strain N04_011214,5,0890918be7b3aade8f78716be22a361f19ca51b6190a4f060dfa89b9ddfac7a0
1280.15909,Staphylococcus aureus strain W62_270515,5,08a390de2811d3599279d4f2d8eba19d99c29f814f1210c5e88101ecdd796e48
1280.9353,Staphylococcus aureus TTSH4_03,5,08fd7c69dafb4f6389d9c7d730189f79f96ea513c9c2e1e0c602797569f99786
1280.51858,Staphylococcus aureus 12-03920,5,09f82db308684b73cd8a8a2bd4387976733fdbb0ed1a2f7b26850b61c5255c63
1280.9212,Staphylococcus aureus 022_01,5,0a4c2e1d910fc52dfa0971cc16f0d1e6f36b626cbbc1a5afb506eaf93d3d9393
1280.8844,Staphylococcus aureus TTSH3_08,5,0a9a50f0bb6df022a3a87ef0e9a246ff86525d418a68d1f1e45090ebe73379f1
1280.26042,Staphylococcus aureus strain 1253-28,5,0aa24e0a66693e0a68b8eecebfc63c9b93c5bc087eddf66673aadbd8d7cc3161
1280.8522,Staphylococcus aureus C00000852,5,0ad409423ea30962f90cd9f57dc61268aac417f588fbb05f0e0de76af2fb5e56
1280.59884,Staphylococcus aureus 11A943,5,0b08263192516dfd473cdffa99429d4e8aadda03fdd4ea7a3d15c5c7fab77927
1280.59708,Staphylococcus aureus CFSA16SA006,5,0b44cc0414f59158ca7a858db1f851aa6ce57054a909c6e1e8f7ce2af5512da3
1280.59328,Staphylococcus aureus CFSA15SA078,5,0b6550344a0849d963bc991296213aebdf50ee11d61e90e60a344a5b3e091689
1280.59416,Staphylococcus aureus CFSA14SA031,5,0b6fbf12a5f145f415ca8fc5152b287f01b964862db0e9e17e784aa7f5ef3efe
