antibiotic,status,calibration_status,feature_count,no_call_rate,class_counts.train.susceptible,class_counts.train.resistant,class_counts.calibration.susceptible,class_counts.calibration.resistant,class_counts.test.susceptible,class_counts.test.resistant,decision_thresholds.lower,decision_thresholds.upper,decision_thresholds.susceptible_calls,decision_thresholds.susceptible_call_error,decision_thresholds.resistant_calls,decision_thresholds.resistant_call_error,test_metrics.balanced_accuracy,test_metrics.resistant_recall,test_metrics.susceptible_recall,test_metrics.f1,test_metrics.auroc,test_metrics.pr_auc,test_metrics.brier,called_test_metrics.called_count,called_test_metrics.coverage,called_test_metrics.accuracy,called_test_metrics.susceptible_calls,called_test_metrics.resistant_calls,called_test_metrics.resistant_fraction_in_susceptible_calls,called_test_metrics.susceptible_fraction_in_resistant_calls
erythromycin,trained,sigmoid,104,0.2638888888888889,132,209,47,23,50,22,0.2921553668702716,0.8010119721960133,44,0.09090909090909091,10,0.1,0.8890909090909092,0.8181818181818182,0.96,0.8571428571428571,0.9645454545454546,0.9011020073395724,0.07579443969883101,53,0.7361111111111112,0.9622641509433962,46,7,0.021739130434782608,0.14285714285714285
ciprofloxacin,trained,sigmoid,104,0.045454545454545456,163,165,50,20,55,11,0.38040340004594925,0.486736418156267,52,0.057692307692307696,18,0.05555555555555555,0.9272727272727272,0.9090909090909091,0.9454545454545454,0.8333333333333334,0.9867768595041322,0.947348484848485,0.047252605165358785,63,0.9545454545454546,0.9523809523809523,50,13,0.0,0.23076923076923078
gentamicin,trained,sigmoid,104,0.013888888888888888,284,53,59,14,64,8,0.4992069923919221,0.6571150669031448,61,0.03278688524590164,12,0.0,0.9140625,0.875,0.953125,0.7777777777777778,0.9150390625,0.768262987012987,0.05495094341727139,71,0.9861111111111112,0.9436619718309859,62,9,0.016129032258064516,0.3333333333333333
tetracycline,trained,sigmoid_partial_thresholds,104,0.1875,254,73,59,13,50,14,0.2774843845644633,,61,0.09836065573770492,0,,0.7657142857142857,0.5714285714285714,0.96,0.6666666666666666,0.9728571428571429,0.8856753365681936,0.07735944505388181,52,0.8125,0.9230769230769231,52,0,0.07692307692307693,
clindamycin,trained,sigmoid_partial_thresholds,104,0.3469387755102041,109,167,39,11,36,13,0.22965927640298864,,30,0.1,0,,0.6645299145299145,0.38461538461538464,0.9444444444444444,0.5,0.903846153846154,0.7024087275218498,0.13393842796364414,32,0.6530612244897959,0.9375,32,0,0.0625,
