antibiotic,call,confidence,probability_resistant,model_signal,evidence_category,supporting_elements,all_relevant_elements,target_status,target_label,targets_detected,feature_similarity,feature_similarity_floor,unknown_features,lineage_status,maximum_training_ani,minimum_training_ani,nearest_training_genome,reasons
cefoxitin,no_call,0.7255362653536426,0.27446373464635737,no_call,known_resistance_evidence_but_model_uncertain,"['blaI', 'blaZ']","['blaI', 'blaZ']",present,Native penicillin-binding proteins,"['pbpA', 'pbpB']",0.5454545454545454,0.5,[],in_distribution,0.999100121645944,0.9923668127847838,1280.11310,['calibrated_probability_inside_no_call_region']
ciprofloxacin,likely_to_work,0.9775241401832322,0.02247585981676785,susceptible_signal,no_known_resistance_signal,[],[],present,DNA gyrase and topoisomerase IV,"['grlA', 'grlB', 'gyrA', 'gyrB']",0.5454545454545454,0.5,[],in_distribution,0.999100121645944,0.9923668127847838,1280.11310,[]
erythromycin,no_call,0.9372859800917048,0.06271401990829518,susceptible_signal,no_known_resistance_signal,[],[],not_verified,23S ribosomal RNA within the bacterial 50S ribosomal subunit,[],0.5454545454545454,0.5,[],in_distribution,0.999100121645944,0.9923668127847838,1280.11310,['molecular_target_not_verified']
